Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Shares,Plays,Likes,Comments,Saves,Impressions,Reach,Follows
19,04/28/2024 02:04,https://www.instagram.com/reel/C6TP2gUOzdH/,IG reel,,Lifetime,185,104067,1897,10,493,67170,58577,12
26,07/23/2024 23:07,https://www.instagram.com/reel/C9y6t4BRPet/,IG reel,,Lifetime,5,2777,146,3,13,1284,1256,2
39,07/23/2024 02:07,https://www.instagram.com/reel/C9wmy-aR0YT/,IG reel,,Lifetime,16,8718,567,0,75,4291,4112,1
31,07/17/2024 23:07,https://www.instagram.com/reel/C9jb02euyWm/,IG reel,,Lifetime,6,6339,240,4,39,3424,3329,1
12,07/16/2024 01:07,https://www.instagram.com/reel/C9egsc_RS1r/,IG reel,,Lifetime,8,11397,472,2,41,5990,5925,2
19,07/09/2024 17:07,https://www.instagram.com/reel/C9OP4UCvdfQ/,IG reel,,Lifetime,13,5448,203,5,61,3089,2884,3
18,07/07/2024 01:07,https://www.instagram.com/reel/C9HXRRPuE1v/,IG reel,,Lifetime,18,5180,215,4,65,2850,2678,3
59,07/02/2024 00:07,https://www.instagram.com/reel/C86XltkOwOi/,IG reel,,Lifetime,1,3965,158,2,15,2119,1972,1
26,06/29/2024 22:06,https://www.instagram.com/reel/C81BY9_uti9/,IG reel,,Lifetime,39,8904,405,4,137,4743,4425,4
21,06/27/2024 00:06,https://www.instagram.com/reel/C8tdnfoOWIE/,IG reel,,Lifetime,30,12821,552,1,77,6062,5943,19
23,06/25/2024 01:06,https://www.instagram.com/reel/C8oc-KYO267/,IG reel,,Lifetime,43,6007,225,1,36,2920,2780,1
34,06/23/2024 01:06,https://www.instagram.com/reel/C8jU8GjOQSU/,IG reel,,Lifetime,43,8194,433,2,164,4482,4349,5
19,06/22/2024 00:06,https://www.instagram.com/reel/C8goDdwu15N/,IG reel,,Lifetime,30,8764,411,2,119,4417,4283,2
35,06/21/2024 02:06,https://www.instagram.com/reel/C8eSbeZpQVs/,IG reel,,Lifetime,3,4871,166,3,7,2456,2354,2
32,06/19/2024 01:06,https://www.instagram.com/reel/C8Y_uqCOxYs/,IG reel,,Lifetime,318,34289,1590,5,539,19590,19298,55
20,06/10/2024 09:06,https://www.instagram.com/reel/C8CrXNPpbTb/,IG reel,,Lifetime,46,217054,2579,11,0,,,
18,06/04/2024 02:06,https://www.instagram.com/reel/C7yfMwOuqE1/,IG reel,,Lifetime,14,12950,403,1,81,6331,6093,8
9,05/30/2024 02:05,https://www.instagram.com/reel/C7lmBI-OeR0/,IG reel,,Lifetime,7,13973,400,7,49,6106,5845,8
60,05/28/2024 03:05,https://www.instagram.com/reel/C7gjlqOOeI0/,IG reel,,Lifetime,11,9236,354,1,100,6142,5397,19
16,05/27/2024 01:05,https://www.instagram.com/reel/C7due_uOLie/,IG reel,,Lifetime,2157,349535,14233,21,4986,186161,180908,558
41,05/26/2024 00:05,https://www.instagram.com/reel/C7bEleCO0n8/,IG reel,,Lifetime,1800,249489,18542,68,2974,157434,153075,789
18,05/21/2024 02:05,https://www.instagram.com/reel/C7OcMiSOoQ4/,IG reel,,Lifetime,3,8305,206,1,33,5234,4560,6
18,05/14/2024 01:05,https://www.instagram.com/reel/C68T1OKuoMk/,IG reel,,Lifetime,33,15944,545,4,58,9771,8347,5
33,05/09/2024 09:05,https://www.instagram.com/reel/C6wR_EWtnD3/,IG reel,,Lifetime,1,56027,907,3,0,,,
14,05/05/2024 00:05,https://www.instagram.com/reel/C6k_9ghO20T/,IG reel,,Lifetime,24,8573,350,0,145,5056,4674,3
24,04/30/2024 01:04,https://www.instagram.com/reel/C6YQjCBu2Jo/,IG reel,,Lifetime,330,42817,2300,10,607,27672,25602,76
,,,,,,,,,,,,,
